LotArea,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageArea,PoolArea,OverallQual,OverallCond,MSZoning,Street,Neighborhood,BldgType,HouseStyle,ExterQual,KitchenQual,GarageType,SaleCondition,SalePrice
17295,2001,1970,1341.0,1469,2,1,2,7,840.0,0,7,1,RL,Grvl,NAmes,Duplx,2Story,Ex,Gd,Attchd,Normal,329980
2360,1997,1959,49.0,1594,0,0,3,10,1094.0,0,4,1,RL,Pave,SawyerW,1Fam,1.5Fin,TA,Gd,Attchd,Normal,218651
39658,1911,2007,18.0,3695,1,2,5,3,589.0,0,4,5,RL,Pave,NWAmes,1Fam,2Story,TA,TA,Attchd,Normal,396671
46232,1918,1988,725.0,1904,0,1,3,7,1153.0,0,1,6,FV,Pave,Gilbert,Duplx,SLvl,Gd,Gd,Detchd,Normal,271292
12784,2000,1954,2244.0,3864,2,0,0,3,888.0,0,1,5,FV,Pave,Gilbert,1Fam,1Story,Gd,Gd,Attchd,Normal,454765
7765,1943,2014,1473.0,4790,3,0,7,5,42.0,0,10,2,RL,Pave,Edwards,Duplx,1Story,Ex,Gd,Attchd,Normal,589319
18350,1958,1962,2606.0,4482,3,0,3,9,519.0,0,2,9,FV,Pave,CollgCr,1Fam,2Story,TA,TA,Attchd,Normal,525560
38694,2022,2002,451.0,4823,3,1,2,8,1036.0,0,2,5,RL,Pave,SawyerW,1Fam,2Story,TA,Gd,Detchd,Normal,516759
23462,1948,1994,2336.0,4513,0,0,7,12,724.0,0,1,5,C,Pave,OldTown,TwnhsE,1.5Fin,Ex,Ex,Detchd,Normal,506798
48691,1960,1981,1164.0,3592,1,2,0,13,622.0,0,8,9,RL,Pave,OldTown,1Fam,1Story,Gd,TA,Detchd,Normal,488958
45631,1916,1985,1107.0,4659,0,2,1,10,987.0,0,6,3,RL,Grvl,Sawyer,TwnhsE,1.5Fin,Fa,Gd,Attchd,Normal,537413
17523,1973,2009,2438.0,2574,3,1,3,8,802.0,0,6,5,RL,Pave,Gilbert,TwnhsE,1Story,Gd,Gd,None,Normal,392661
42590,1956,1960,214.0,784,2,2,3,2,534.0,0,10,5,RL,Pave,NridgHt,Duplx,2Story,TA,Ex,BuiltIn,Normal,270103
3185,1954,2012,1549.0,1687,3,0,5,3,301.0,0,10,2,RL,Pave,NWAmes,1Fam,1Story,Gd,Gd,Attchd,Abnorml,352103
2269,2012,1970,2262.0,4469,2,1,0,7,526.0,0,9,4,RL,Pave,NAmes,1Fam,2Story,TA,Gd,Attchd,Normal,612947
3933,1946,2001,127.0,3465,1,0,4,8,1138.0,0,5,2,RH,Pave,CollgCr,Duplx,2Story,Fa,Fa,Attchd,Normal,393612
6811,1911,2004,1845.0,4819,2,1,3,4,459.0,0,4,5,RL,Pave,NWAmes,1Fam,1Story,Fa,Gd,Attchd,Normal,501305
39319,1961,1975,759.0,1283,0,1,2,10,831.0,0,6,2,RL,Pave,Somerst,1Fam,1Story,TA,Ex,BuiltIn,Normal,246270
40688,1979,2017,2451.0,1449,0,0,3,8,504.0,0,8,9,RL,Pave,Edwards,Twnhs,2Story,TA,Gd,Detchd,Normal,324784
19068,1987,1983,1815.0,4439,0,2,5,7,1331.0,0,1,6,RL,Pave,NAmes,1Fam,1.5Fin,TA,Ex,BuiltIn,Normal,471276
21269,1982,2001,2385.0,544,2,2,1,7,931.0,0,7,8,RL,Pave,NWAmes,TwnhsE,1Story,Gd,TA,Attchd,Partial,285661
30193,1907,2001,2878.0,2310,0,1,5,2,324.0,0,8,9,RM,Pave,NWAmes,1Fam,1Story,Fa,Gd,Attchd,Normal,399581
7896,1994,1978,2761.0,2581,0,0,3,6,578.0,0,9,8,RL,Pave,Edwards,1Fam,1Story,TA,Gd,Attchd,Normal,430056
28980,1920,1987,360.0,3998,0,0,7,11,760.0,0,8,5,RM,Pave,NWAmes,1Fam,SLvl,TA,Gd,Attchd,Normal,462238
42934,1980,1991,568.0,1329,1,1,4,4,1198.0,0,7,5,RM,Pave,SawyerW,1Fam,1Story,Ex,TA,Detchd,Normal,266694
27158,1986,1970,1415.0,2409,2,2,6,8,850.0,0,3,6,RL,Pave,NAmes,1Fam,1Story,TA,Gd,Attchd,Normal,355413
20442,2000,1991,2265.0,3081,2,0,3,11,1195.0,0,2,1,RL,Pave,Somerst,1Fam,2Story,Fa,Gd,Detchd,Normal,443977
19931,2017,1962,1597.0,1191,3,2,0,4,959.0,0,3,8,FV,Pave,NAmes,TwnhsE,2Story,TA,TA,Detchd,Normal,259482
4247,1979,2013,1692.0,4519,2,2,3,6,501.0,0,4,2,RL,Pave,Edwards,1Fam,1Story,Gd,Gd,BuiltIn,AdjLand,506921
1689,1969,1966,201.0,1431,1,1,4,8,333.0,0,4,6,RL,Pave,Somerst,1Fam,SFoyer,Ex,TA,Attchd,Normal,213553
20618,1971,1958,2064.0,3906,2,1,0,4,283.0,0,6,9,FV,Pave,OldTown,1Fam,2Story,Gd,TA,Detchd,Normal,518045
37273,1924,1990,2369.0,647,1,2,2,11,474.0,0,7,3,RL,Pave,CollgCr,1Fam,2Story,Fa,Gd,None,Normal,246038
3399,1981,1950,517.0,1532,1,0,7,3,1077.0,0,4,2,RL,Pave,Gilbert,1Fam,1Story,Fa,TA,BuiltIn,Normal,252725
2767,1988,1951,1348.0,1811,2,0,0,7,1481.0,0,10,5,RH,Pave,OldTown,1Fam,1.5Fin,Fa,Fa,Detchd,Normal,389483
33051,1911,2009,1435.0,887,3,1,5,9,1443.0,0,6,9,RL,Pave,SawyerW,1Fam,1Story,TA,TA,Detchd,Normal,244575
12894,1914,1997,1341.0,3621,0,2,1,5,631.0,680,9,6,RL,Pave,NAmes,1Fam,1Story,TA,Fa,Attchd,Normal,439080
5056,1958,1978,680.0,2373,0,0,5,10,702.0,0,6,8,FV,Pave,Somerst,1Fam,1Story,TA,Gd,Detchd,Partial,307708
5390,1925,1959,1988.0,4088,2,0,6,13,408.0,0,3,8,FV,Pave,CollgCr,1Fam,2Story,TA,Gd,Detchd,Normal,466368
43106,2004,2007,1491.0,1415,2,1,0,13,981.0,0,1,7,RL,Pave,CollgCr,1Fam,2Story,TA,Fa,Detchd,Normal,255627
32240,2008,2009,424.0,2378,1,2,2,9,1327.0,0,10,5,RL,Pave,Edwards,1Fam,2Story,TA,Gd,Detchd,Normal,409225
16002,1925,1970,1968.0,4248,2,0,3,8,558.0,0,10,2,C,Pave,Edwards,1Fam,1Story,TA,Fa,Attchd,Normal,549073
23277,1946,1977,1712.0,777,1,1,7,8,221.0,0,5,5,RM,Pave,Edwards,1Fam,2Story,Gd,Ex,Attchd,Normal,202963
12127,1931,1983,2434.0,2477,3,0,0,4,157.0,0,10,7,RL,Pave,NridgHt,1Fam,2Story,Gd,Fa,Attchd,Normal,448615
10292,1909,1957,777.0,2359,2,0,5,7,347.0,0,10,7,RL,Pave,NAmes,1Fam,1Story,TA,Gd,Attchd,Normal,360133
44823,1915,2008,2145.0,3536,0,0,0,6,1182.0,0,3,2,RL,Pave,Sawyer,Duplx,1.5Fin,Fa,Ex,Attchd,Normal,423082
44521,1970,2021,1826.0,3871,0,1,0,2,888.0,0,8,7,FV,Pave,SawyerW,Duplx,1Story,TA,TA,Attchd,Normal,521609
9933,1916,1998,207.0,2682,2,2,0,12,921.0,0,10,6,FV,Pave,NWAmes,1Fam,2Story,Ex,Gd,Attchd,Normal,419457
44501,1922,1966,1537.0,1670,1,1,2,4,1258.0,0,1,7,RH,Pave,SawyerW,Twnhs,1Story,Fa,Ex,BuiltIn,Normal,251073
12516,1925,2009,1659.0,989,0,2,7,13,661.0,0,2,8,FV,Pave,Gilbert,1Fam,2Story,TA,Gd,Attchd,Normal,160467
25397,1984,1994,2633.0,3025,1,0,4,2,404.0,0,3,4,RL,Pave,Edwards,1Fam,SFoyer,TA,TA,Attchd,Normal,394328
4112,1985,2018,2213.0,1682,2,2,4,5,1280.0,0,3,1,RL,Pave,Gilbert,1Fam,SFoyer,TA,Fa,Attchd,Normal,309772
24983,2021,1981,21.0,4979,2,0,0,11,676.0,0,8,8,RM,Pave,SawyerW,1Fam,1Story,TA,Gd,Attchd,Normal,590240
18659,1906,1993,153.0,4758,0,0,2,4,588.0,0,5,8,RM,Pave,NridgHt,1Fam,1Story,TA,Gd,Attchd,Normal,488337
46474,1913,2014,1962.0,2988,2,1,2,12,557.0,0,8,3,RL,Pave,Gilbert,1Fam,1Story,TA,Gd,Attchd,Normal,428251
42494,1978,1957,218.0,2376,3,0,6,5,904.0,0,6,3,RL,Pave,NAmes,2FmCon,1.5Fin,Gd,TA,BuiltIn,Normal,349034
16041,2016,2021,668.0,2962,3,1,0,10,1070.0,0,2,5,FV,Pave,Somerst,1Fam,2Story,Gd,Gd,Attchd,Normal,371731
37420,1906,1992,1518.0,2130,0,2,5,4,1236.0,0,4,3,RL,Pave,Sawyer,1Fam,1Story,Ex,Gd,Detchd,Normal,324207
28031,1908,1950,2277.0,787,3,2,5,13,478.0,0,9,5,RL,Pave,Sawyer,1Fam,1Story,Gd,Gd,BuiltIn,Normal,263740
3085,2014,2000,2067.0,4782,1,0,1,7,486.0,0,4,8,RM,Pave,SawyerW,TwnhsE,SLvl,Gd,TA,None,Abnorml,531447
5443,1947,1973,2600.0,2407,0,1,7,7,565.0,0,5,1,RM,Pave,NWAmes,1Fam,2Story,Gd,TA,Attchd,Normal,342440
25439,1971,1973,949.0,1661,0,0,0,8,1365.0,0,5,2,RL,Pave,Edwards,1Fam,1Story,Ex,TA,Attchd,Normal,305700
20957,2013,1966,2195.0,629,1,1,1,10,523.0,0,10,2,C,Grvl,SawyerW,1Fam,1Story,Gd,Ex,Attchd,Normal,301187
2521,1958,1954,402.0,2863,3,1,5,13,703.0,0,8,4,RL,Pave,Gilbert,1Fam,1Story,Gd,TA,Attchd,Partial,412396
13153,1986,1969,595.0,643,3,1,5,8,1029.0,0,6,9,RL,Pave,NridgHt,1Fam,2Story,Ex,TA,Attchd,Normal,245641
45073,1992,1970,2414.0,515,3,2,0,2,820.0,0,10,2,RL,Pave,Somerst,1Fam,SLvl,TA,Gd,BuiltIn,Normal,315701
14917,1981,2007,1437.0,744,0,1,1,9,1167.0,0,7,9,RM,Pave,Sawyer,1Fam,1.5Fin,TA,Ex,Attchd,Abnorml,228402
42257,1994,1980,2849.0,1426,0,2,1,6,,0,6,7,RH,Pave,OldTown,1Fam,1Story,Ex,Gd,Attchd,Normal,314629
11192,1993,1960,2965.0,3678,3,1,0,10,1284.0,0,5,8,C,Pave,Sawyer,1Fam,1.5Fin,TA,TA,Attchd,Normal,496809
47258,2015,2001,1157.0,2676,2,2,7,11,584.0,0,5,1,FV,Pave,Somerst,1Fam,1Story,Fa,TA,,Partial,387772
8373,1938,1964,1742.0,1386,3,2,6,13,685.0,0,3,5,RL,Pave,NAmes,1Fam,1Story,Fa,TA,Detchd,Normal,244803
7175,1998,1956,1306.0,840,1,2,1,6,231.0,0,7,9,RL,Pave,Gilbert,1Fam,SFoyer,Ex,Gd,Attchd,Normal,243580
1661,1917,1977,72.0,2551,0,0,6,6,269.0,0,10,4,RL,Pave,CollgCr,1Fam,1Story,TA,Gd,Attchd,Normal,340134
38565,1958,2000,480.0,3898,1,1,3,13,939.0,0,5,2,RL,Pave,NridgHt,TwnhsE,1Story,Gd,Fa,Attchd,Normal,449337
28057,2005,2007,559.0,4450,1,0,7,13,1470.0,0,7,6,C,Pave,NWAmes,1Fam,SFoyer,Ex,Gd,Detchd,Normal,549863
35263,2002,1954,744.0,805,0,1,5,3,873.0,0,2,2,RM,Pave,OldTown,1Fam,1Story,Gd,Fa,Detchd,Normal,165836
34106,1916,1954,1466.0,1407,2,1,4,13,1245.0,0,9,3,RH,Pave,SawyerW,1Fam,2Story,Gd,TA,Detchd,Normal,347794
13034,1913,1957,99.0,3154,3,0,7,12,51.0,0,8,8,RL,Pave,Edwards,1Fam,SLvl,TA,Gd,Attchd,Normal,374953
30627,1930,2013,1082.0,4292,1,2,6,4,115.0,0,5,3,RL,Pave,Edwards,1Fam,2Story,TA,Gd,Detchd,Abnorml,449074
41897,1923,1959,2555.0,4542,0,1,6,11,537.0,0,2,2,RL,Pave,Edwards,1Fam,1Story,TA,Fa,Detchd,Normal,507461
27351,1998,1987,2305.0,1871,1,2,6,10,540.0,0,6,6,RL,Pave,OldTown,1Fam,1Story,Gd,Gd,None,Normal,355192
2516,2007,1957,412.0,820,3,0,2,8,1042.0,0,8,3,RL,Pave,Somerst,1Fam,1Story,Gd,TA,Attchd,Normal,234662
25753,1959,1974,1088.0,4559,2,2,7,2,814.0,0,7,1,RL,Pave,NWAmes,1Fam,1Story,Gd,Gd,Attchd,Normal,559741
25776,1944,2022,,1631,2,1,1,4,1415.0,166,8,3,RL,Pave,Sawyer,Twnhs,2Story,Gd,TA,Attchd,Normal,365944
24747,1997,2015,1177.0,3078,2,1,1,13,790.0,0,4,6,RL,Pave,SawyerW,1Fam,1Story,Fa,TA,Attchd,Normal,399226
25800,1902,1999,2008.0,4542,0,1,2,3,617.0,0,3,3,RL,Pave,CollgCr,1Fam,1Story,TA,Fa,Detchd,Normal,484375
10029,1936,2016,2313.0,3867,0,0,1,2,418.0,0,7,9,RL,Pave,NWAmes,1Fam,2Story,Fa,Gd,Detchd,Normal,488338
18762,1942,1998,820.0,1317,2,1,2,10,308.0,0,2,7,RL,Pave,SawyerW,1Fam,2Story,TA,TA,Attchd,Normal,203763
10768,1939,1985,661.0,511,3,0,6,9,863.0,0,5,5,RL,Pave,CollgCr,1Fam,1.5Fin,TA,Ex,Attchd,Normal,183631
22771,1989,2017,2994.0,694,3,2,0,6,185.0,0,7,2,RL,Pave,NridgHt,1Fam,1Story,Gd,Gd,,Normal,275635
13685,1954,1990,559.0,3037,0,1,7,12,260.0,0,1,9,RL,Pave,Somerst,Twnhs,1.5Fin,TA,Gd,BuiltIn,Normal,305960
22743,1986,2011,2964.0,3342,2,1,3,13,1296.0,0,4,5,RL,Pave,NridgHt,1Fam,2Story,TA,Ex,Attchd,Normal,479735
40599,2007,1959,2938.0,2729,3,1,6,3,159.0,0,2,7,RL,Pave,Somerst,1Fam,1Story,TA,Gd,Attchd,Normal,424019
10071,1938,1970,1271.0,3509,3,2,3,2,869.0,0,6,9,RL,Grvl,Gilbert,1Fam,1Story,TA,Gd,Attchd,Normal,459796
41476,1914,1985,1813.0,2577,3,1,5,8,761.0,0,1,4,RM,Pave,Sawyer,1Fam,1Story,Gd,Fa,Attchd,Normal,321401
39544,2019,1961,,4367,0,0,6,12,223.0,0,7,9,RM,Pave,NAmes,1Fam,2Story,TA,TA,Detchd,Normal,561233
42274,2012,1951,609.0,943,2,2,4,12,1279.0,0,3,1,C,Pave,NAmes,1Fam,1Story,TA,Gd,BuiltIn,Normal,236494
4068,1903,1962,2461.0,797,1,2,1,3,179.0,0,1,6,RL,Pave,Somerst,1Fam,SLvl,TA,Fa,Attchd,Partial,173080
3527,1992,2002,24.0,1344,2,2,4,2,19.0,0,8,2,RL,Pave,NAmes,1Fam,2Story,TA,Gd,Detchd,Normal,271220
4195,1985,1981,2028.0,1515,2,2,0,3,631.0,0,7,8,C,Pave,OldTown,1Fam,SLvl,Ex,Gd,Attchd,Normal,312485
49690,1924,1965,283.0,1884,0,2,3,8,1491.0,0,2,5,RL,Pave,SawyerW,1Fam,1Story,TA,TA,None,Normal,244565
6758,1912,1981,,1897,3,0,7,8,1233.0,0,7,3,RM,Pave,NWAmes,1Fam,1Story,Ex,Ex,Attchd,Normal,324606
23502,1981,1981,2928.0,1053,3,2,6,11,57.0,0,3,2,RL,Pave,NridgHt,TwnhsE,1Story,Ex,TA,Attchd,Normal,258987
41004,1932,1960,300.0,2850,0,1,7,7,1116.0,0,9,8,RL,Pave,Gilbert,1Fam,1Story,TA,Ex,Attchd,Abnorml,441638
34659,1915,1959,1091.0,1769,0,2,0,6,1244.0,0,8,7,RM,Pave,Sawyer,1Fam,1.5Fin,Gd,Gd,Attchd,Partial,332030
15486,2008,1964,1030.0,1760,0,2,0,4,722.0,100,5,9,RL,Pave,Sawyer,1Fam,1Story,TA,Gd,Attchd,Partial,264444
14166,1941,1966,816.0,684,0,2,1,13,1255.0,316,7,8,RL,Pave,Gilbert,1Fam,1Story,TA,Fa,Detchd,Abnorml,205262
40160,2007,1989,82.0,2910,0,2,0,4,1387.0,0,3,4,RL,Pave,Edwards,1Fam,1Story,Gd,TA,Detchd,Normal,355281
5061,1965,1967,1920.0,4931,1,2,6,12,614.0,0,1,2,RL,Pave,Edwards,Duplx,1Story,TA,TA,Attchd,Abnorml,490600
28354,1954,2004,2093.0,2709,2,0,6,13,561.0,0,1,2,RL,Pave,Edwards,1Fam,1.5Fin,TA,TA,Detchd,Normal,338433
40452,1998,2022,617.0,4172,2,0,7,10,373.0,0,2,2,RL,Pave,Gilbert,1Fam,2Story,Gd,Gd,Attchd,Abnorml,455541
24162,1941,1974,2975.0,2381,2,2,7,5,621.0,0,8,6,RM,Pave,NAmes,1Fam,2Story,TA,TA,Detchd,Normal,430095
9892,1933,2008,2309.0,4796,3,0,3,10,1479.0,0,1,7,RM,Pave,CollgCr,1Fam,1Story,TA,Gd,Attchd,Normal,552997
32035,1929,1971,175.0,1021,1,1,6,5,87.0,0,5,6,RL,Pave,Gilbert,1Fam,SLvl,TA,Gd,Detchd,Normal,189245
14567,2022,1979,1189.0,2387,2,2,4,3,1043.0,0,9,2,RH,Pave,NAmes,TwnhsE,2Story,Fa,TA,Attchd,Normal,390546
49533,2018,1993,2704.0,3052,3,1,3,5,1013.0,0,9,4,RL,Pave,NWAmes,1Fam,1Story,TA,Gd,Attchd,Normal,518456
25099,1912,1981,841.0,4309,1,1,1,7,13.0,0,2,3,RL,Pave,Gilbert,Twnhs,1Story,Fa,Gd,Attchd,Normal,411913
36722,1912,2000,369.0,4655,1,2,3,7,132.0,0,7,4,C,Pave,NridgHt,1Fam,SLvl,TA,TA,Attchd,Normal,501755
13337,1917,1995,1818.0,4916,3,1,2,6,1057.0,0,1,5,RM,Pave,NAmes,1Fam,2Story,Gd,TA,Detchd,Normal,531129
15539,1931,1970,2101.0,3979,1,1,7,2,891.0,0,3,7,RM,Pave,Sawyer,1Fam,2Story,TA,TA,Attchd,Normal,459292
32318,1995,1981,689.0,1909,3,1,4,4,1231.0,0,6,9,RL,Pave,Somerst,1Fam,1Story,Gd,Gd,Attchd,Normal,348294
20615,1998,1988,1779.0,2194,2,2,7,6,1222.0,537,9,2,RL,Pave,Somerst,TwnhsE,1Story,TA,Gd,Attchd,Normal,423929
12465,2022,1961,1364.0,1026,3,2,2,7,591.0,0,10,8,FV,Pave,Gilbert,1Fam,2Story,TA,TA,Attchd,Normal,316917
26038,1938,1996,1432.0,3160,1,1,2,2,582.0,0,2,3,RL,Pave,NridgHt,Duplx,2Story,TA,TA,Detchd,Partial,363782
44030,1945,1967,366.0,2672,2,2,5,10,1178.0,0,7,9,RM,Pave,NridgHt,1Fam,2Story,Ex,TA,Attchd,Normal,410652
6556,2015,1970,,779,2,2,6,4,1101.0,0,4,4,RL,Pave,Somerst,1Fam,2Story,TA,Fa,Detchd,Normal,211944
33982,1928,1962,2426.0,3464,0,1,1,11,1195.0,0,2,3,C,Pave,NAmes,Duplx,1Story,Ex,Fa,Attchd,Normal,422557
49216,1961,1970,72.0,4477,0,2,0,4,288.0,0,3,6,RL,Pave,NWAmes,1Fam,2Story,TA,Gd,BuiltIn,Partial,447004
9610,2012,1957,2962.0,3169,1,0,2,12,1012.0,0,6,9,RL,Pave,Gilbert,1Fam,SLvl,TA,TA,None,Normal,495801
15273,1992,1995,1271.0,3393,3,2,3,3,878.0,0,10,7,RL,Pave,NWAmes,1Fam,1.5Fin,Fa,TA,Detchd,Normal,492170
28766,1961,1956,859.0,2251,3,0,0,9,1443.0,0,9,4,RM,Pave,Edwards,2FmCon,1Story,Gd,TA,BuiltIn,Normal,436165
18912,2016,1972,42.0,4481,1,1,3,4,6.0,0,8,3,RM,Pave,CollgCr,1Fam,1Story,TA,Ex,Attchd,Normal,490320
34770,2007,1971,2424.0,2861,2,2,7,7,1183.0,0,10,4,RL,Pave,OldTown,1Fam,1.5Fin,TA,TA,BuiltIn,Abnorml,500641
8410,1956,1971,1064.0,4927,1,1,3,3,239.0,0,9,3,RM,Pave,Edwards,1Fam,2Story,Fa,Fa,BuiltIn,Normal,576106
46953,1915,1978,2217.0,4631,1,1,0,8,1446.0,0,4,3,RL,Pave,SawyerW,1Fam,2Story,TA,TA,None,Normal,568716
26946,1955,1962,2259.0,2208,2,1,0,5,535.0,0,4,9,RL,Pave,Sawyer,1Fam,SLvl,Gd,TA,Detchd,Normal,322085
1706,2007,1951,1516.0,3186,3,1,6,10,69.0,0,9,4,RL,Pave,OldTown,1Fam,2Story,TA,Gd,Detchd,Normal,443412
23018,2010,1978,2086.0,3395,1,1,3,11,215.0,0,8,9,RL,Pave,Sawyer,1Fam,2Story,TA,Gd,Attchd,Normal,482876
23861,2020,2001,368.0,3276,3,2,1,10,1127.0,0,2,5,RL,Pave,Gilbert,1Fam,1Story,TA,Gd,Attchd,Normal,436186
24919,1909,1976,2804.0,1619,1,0,6,8,1077.0,0,8,7,RL,Pave,Edwards,1Fam,1Story,TA,Gd,Attchd,Normal,369783
43023,1929,1999,150.0,3488,2,2,4,13,805.0,0,1,5,RM,Pave,NridgHt,1Fam,1Story,Gd,TA,BuiltIn,Normal,361430
46651,1924,1972,1134.0,4759,2,2,5,9,329.0,0,9,1,RM,Pave,Somerst,1Fam,SLvl,Fa,Gd,Attchd,Normal,537178
23903,2002,1993,1503.0,4743,0,2,4,4,847.0,0,9,2,RM,Pave,Somerst,1Fam,1Story,Ex,TA,Attchd,Normal,594201
19641,1983,1971,1459.0,694,2,2,1,12,1226.0,0,8,5,RL,Pave,NWAmes,1Fam,1Story,Fa,Gd,Attchd,Normal,280929
16320,1904,1992,1070.0,1162,0,0,6,6,1311.0,0,5,6,FV,Pave,OldTown,1Fam,1.5Fin,TA,Gd,Attchd,Normal,222659
41842,1964,1986,1023.0,979,1,2,5,3,44.0,459,5,7,RM,Pave,SawyerW,1Fam,2Story,TA,Ex,BuiltIn,Normal,200575
7874,1993,2010,1598.0,4718,3,1,6,11,828.0,0,3,2,RL,Pave,Edwards,Duplx,2Story,TA,TA,BuiltIn,Normal,536454
3178,1948,2005,2784.0,1923,2,2,0,8,197.0,0,5,9,C,Pave,Somerst,1Fam,1Story,Ex,Ex,Attchd,Normal,307205
